Scenario,Version,Time,Channel,Market,Measure,value
Baseline,Working,Jan_2026,Paid_Social,Tampa,Close_Rate,0.11
Baseline,Working,Jan_2026,Paid_Social,Tampa,AOV,200
Baseline,Working,Jan_2026,Paid_Social,Tampa,COGS_Rate,0.32
Baseline,Working,Jan_2026,Paid_Social,Orlando,Spend,11700
Baseline,Working,Jan_2026,Paid_Social,Orlando,CPC,1.57
Baseline,Working,Jan_2026,Paid_Social,Orlando,CVR,0.025
Baseline,Working,Jan_2026,Paid_Social,Orlando,Close_Rate,0.11
Baseline,Working,Jan_2026,Paid_Social,Orlando,AOV,250
Baseline,Working,Jan_2026,Paid_Social,Orlando,COGS_Rate,0.32
Baseline,Working,Jan_2026,Paid_Social,Miami,Spend,11900
Baseline,Working,Jan_2026,Paid_Social,Miami,CPC,1.59
Baseline,Working,Jan_2026,Paid_Social,Miami,CVR,0.025
Baseline,Working,Jan_2026,Paid_Social,Miami,Close_Rate,0.11
Baseline,Working,Jan_2026,Paid_Social,Miami,AOV,300
Baseline,Working,Jan_2026,Paid_Social,Miami,COGS_Rate,0.32
Baseline,Working,Jan_2026,Paid_Social,Atlanta,Spend,12100
Baseline,Working,Jan_2026,Paid_Social,Atlanta,CPC,1.61
Baseline,Working,Jan_2026,Paid_Social,Atlanta,CVR,0.025
Baseline,Working,Jan_2026,Paid_Social,Atlanta,Close_Rate,0.11
Baseline,Working,Jan_2026,Paid_Social,Atlanta,AOV,350
Baseline,Working,Jan_2026,Paid_Social,Atlanta,COGS_Rate,0.32
Baseline,Working,Jan_2026,Paid_Social,Charlotte,Spend,12300
Baseline,Working,Jan_2026,Paid_Social,Charlotte,CPC,1.6300000000000001
Baseline,Working,Jan_2026,Paid_Social,Charlotte,CVR,0.025
Baseline,Working,Jan_2026,Paid_Social,Charlotte,Close_Rate,0.11
Baseline,Working,Jan_2026,Paid_Social,Charlotte,AOV,400
Baseline,Working,Jan_2026,Paid_Social,Charlotte,COGS_Rate,0.32
Baseline,Working,Jan_2026,Paid_Social,New_York_City,Spend,12500
Baseline,Working,Jan_2026,Paid_Social,New_York_City,CPC,1.6500000000000001
Baseline,Working,Jan_2026,Paid_Social,New_York_City,CVR,0.025
Baseline,Working,Jan_2026,Paid_Social,New_York_City,Close_Rate,0.11
Baseline,Working,Jan_2026,Paid_Social,New_York_City,AOV,450
Baseline,Working,Jan_2026,Paid_Social,New_York_City,COGS_Rate,0.32
Baseline,Working,Jan_2026,Paid_Social,Boston,Spend,12700
Baseline,Working,Jan_2026,Paid_Social,Boston,CPC,1.67
Baseline,Working,Jan_2026,Paid_Social,Boston,CVR,0.025
Baseline,Working,Jan_2026,Paid_Social,Boston,Close_Rate,0.11
Baseline,Working,Jan_2026,Paid_Social,Boston,AOV,500
Baseline,Working,Jan_2026,Paid_Social,Boston,COGS_Rate,0.32
Baseline,Working,Jan_2026,Display,Tampa,Spend,12500
Baseline,Working,Jan_2026,Display,Tampa,CPC,1.6
Baseline,Working,Jan_2026,Display,Tampa,CVR,0.03
Baseline,Working,Jan_2026,Display,Tampa,Close_Rate,0.12000000000000001
Baseline,Working,Jan_2026,Display,Tampa,AOV,200
Baseline,Working,Jan_2026,Display,Tampa,COGS_Rate,0.33999999999999997
Baseline,Working,Jan_2026,Display,Orlando,Spend,12700
Baseline,Working,Jan_2026,Display,Orlando,CPC,1.62
Baseline,Working,Jan_2026,Display,Orlando,CVR,0.03
Baseline,Working,Jan_2026,Display,Orlando,Close_Rate,0.12000000000000001
Baseline,Working,Jan_2026,Display,Orlando,AOV,250
Baseline,Working,Jan_2026,Display,Orlando,COGS_Rate,0.33999999999999997
Baseline,Working,Jan_2026,Display,Miami,Spend,12900
Baseline,Working,Jan_2026,Display,Miami,CPC,1.6400000000000001
Baseline,Working,Jan_2026,Display,Miami,CVR,0.03
Baseline,Working,Jan_2026,Display,Miami,Close_Rate,0.12000000000000001
Baseline,Working,Jan_2026,Display,Miami,AOV,300
Baseline,Working,Jan_2026,Display,Miami,COGS_Rate,0.33999999999999997
Baseline,Working,Jan_2026,Display,Atlanta,Spend,13100
Baseline,Working,Jan_2026,Display,Atlanta,CPC,1.6600000000000001
Baseline,Working,Jan_2026,Display,Atlanta,CVR,0.03
Baseline,Working,Jan_2026,Display,Atlanta,Close_Rate,0.12000000000000001
Baseline,Working,Jan_2026,Display,Atlanta,AOV,350
Baseline,Working,Jan_2026,Display,Atlanta,COGS_Rate,0.33999999999999997
Baseline,Working,Jan_2026,Display,Charlotte,Spend,13300
Baseline,Working,Jan_2026,Display,Charlotte,CPC,1.6800000000000002
Baseline,Working,Jan_2026,Display,Charlotte,CVR,0.03
Baseline,Working,Jan_2026,Display,Charlotte,Close_Rate,0.12000000000000001
Baseline,Working,Jan_2026,Display,Charlotte,AOV,400
Baseline,Working,Jan_2026,Display,Charlotte,COGS_Rate,0.33999999999999997
Baseline,Working,Jan_2026,Display,New_York_City,Spend,13500
Baseline,Working,Jan_2026,Display,New_York_City,CPC,1.7000000000000002
Baseline,Working,Jan_2026,Display,New_York_City,CVR,0.03
Baseline,Working,Jan_2026,Display,New_York_City,Close_Rate,0.12000000000000001
Baseline,Working,Jan_2026,Display,New_York_City,AOV,450
Baseline,Working,Jan_2026,Display,New_York_City,COGS_Rate,0.33999999999999997
Baseline,Working,Jan_2026,Display,Boston,Spend,13700
Baseline,Working,Jan_2026,Display,Boston,CPC,1.7200000000000002
Baseline,Working,Jan_2026,Display,Boston,CVR,0.03
Baseline,Working,Jan_2026,Display,Boston,Close_Rate,0.12000000000000001
Baseline,Working,Jan_2026,Display,Boston,AOV,500
Baseline,Working,Jan_2026,Display,Boston,COGS_Rate,0.33999999999999997
Baseline,Working,Jan_2026,Email,Tampa,Spend,13500
Baseline,Working,Jan_2026,Email,Tampa,CPC,1.65
Baseline,Working,Jan_2026,Email,Tampa,CVR,0.035
Baseline,Working,Jan_2026,Email,Tampa,Close_Rate,0.13
Baseline,Working,Jan_2026,Email,Tampa,AOV,200
Baseline,Working,Jan_2026,Email,Tampa,COGS_Rate,0.36
Baseline,Working,Jan_2026,Email,Orlando,Spend,13700
Baseline,Working,Jan_2026,Email,Orlando,CPC,1.67
Baseline,Working,Jan_2026,Email,Orlando,CVR,0.035
Baseline,Working,Jan_2026,Email,Orlando,Close_Rate,0.13
Baseline,Working,Jan_2026,Email,Orlando,AOV,250
Baseline,Working,Jan_2026,Email,Orlando,COGS_Rate,0.36
Baseline,Working,Jan_2026,Email,Miami,Spend,13900
Baseline,Working,Jan_2026,Email,Miami,CPC,1.69
Baseline,Working,Jan_2026,Email,Miami,CVR,0.035
Baseline,Working,Jan_2026,Email,Miami,Close_Rate,0.13
Baseline,Working,Jan_2026,Email,Miami,AOV,300
Baseline,Working,Jan_2026,Email,Miami,COGS_Rate,0.36
Baseline,Working,Jan_2026,Email,Atlanta,Spend,14100
Baseline,Working,Jan_2026,Email,Atlanta,CPC,1.71
Baseline,Working,Jan_2026,Email,Atlanta,CVR,0.035
Baseline,Working,Jan_2026,Email,Atlanta,Close_Rate,0.13
Baseline,Working,Jan_2026,Email,Atlanta,AOV,350
Baseline,Working,Jan_2026,Email,Atlanta,COGS_Rate,0.36
Baseline,Working,Jan_2026,Email,Charlotte,Spend,14300
Baseline,Working,Jan_2026,Email,Charlotte,CPC,1.73
Baseline,Working,Jan_2026,Email,Charlotte,CVR,0.035
Baseline,Working,Jan_2026,Email,Charlotte,Close_Rate,0.13
Baseline,Working,Jan_2026,Email,Charlotte,AOV,400
Baseline,Working,Jan_2026,Email,Charlotte,COGS_Rate,0.36
Baseline,Working,Jan_2026,Email,New_York_City,Spend,14500
Baseline,Working,Jan_2026,Email,New_York_City,CPC,1.75
Baseline,Working,Jan_2026,Email,New_York_City,CVR,0.035
Baseline,Working,Jan_2026,Email,New_York_City,Close_Rate,0.13
Baseline,Working,Jan_2026,Email,New_York_City,AOV,450
Baseline,Working,Jan_2026,Email,New_York_City,COGS_Rate,0.36
Baseline,Working,Jan_2026,Email,Boston,Spend,14700
Baseline,Working,Jan_2026,Email,Boston,CPC,1.77
Baseline,Working,Jan_2026,Email,Boston,CVR,0.035
Baseline,Working,Jan_2026,Email,Boston,Close_Rate,0.13
Baseline,Working,Jan_2026,Email,Boston,AOV,500
Baseline,Working,Jan_2026,Email,Boston,COGS_Rate,0.36
Baseline,Working,Jan_2026,Organic,Tampa,Spend,14500
Baseline,Working,Jan_2026,Organic,Tampa,CPC,1.7
Baseline,Working,Jan_2026,Organic,Tampa,CVR,0.04
Baseline,Working,Jan_2026,Organic,Tampa,Close_Rate,0.14
Baseline,Working,Jan_2026,Organic,Tampa,AOV,200
Baseline,Working,Jan_2026,Organic,Tampa,COGS_Rate,0.38
Baseline,Working,Jan_2026,Organic,Orlando,Spend,14700
Baseline,Working,Jan_2026,Organic,Orlando,CPC,1.72
Baseline,Working,Jan_2026,Organic,Orlando,CVR,0.04
Baseline,Working,Jan_2026,Organic,Orlando,Close_Rate,0.14
Baseline,Working,Jan_2026,Organic,Orlando,AOV,250
Baseline,Working,Jan_2026,Organic,Orlando,COGS_Rate,0.38
Baseline,Working,Jan_2026,Organic,Miami,Spend,14900
Baseline,Working,Jan_2026,Organic,Miami,CPC,1.74
Baseline,Working,Jan_2026,Organic,Miami,CVR,0.04
Baseline,Working,Jan_2026,Organic,Miami,Close_Rate,0.14
Baseline,Working,Jan_2026,Organic,Miami,AOV,300
Baseline,Working,Jan_2026,Organic,Miami,COGS_Rate,0.38
Baseline,Working,Jan_2026,Organic,Atlanta,Spend,15100
Baseline,Working,Jan_2026,Organic,Atlanta,CPC,1.76
Baseline,Working,Jan_2026,Organic,Atlanta,CVR,0.04
Baseline,Working,Jan_2026,Organic,Atlanta,Close_Rate,0.14
Baseline,Working,Jan_2026,Organic,Atlanta,AOV,350
Baseline,Working,Jan_2026,Organic,Atlanta,COGS_Rate,0.38
Baseline,Working,Jan_2026,Organic,Charlotte,Spend,15300
Baseline,Working,Jan_2026,Organic,Charlotte,CPC,1.78
Baseline,Working,Jan_2026,Organic,Charlotte,CVR,0.04
Baseline,Working,Jan_2026,Organic,Charlotte,Close_Rate,0.14
Baseline,Working,Jan_2026,Organic,Charlotte,AOV,400
Baseline,Working,Jan_2026,Organic,Charlotte,COGS_Rate,0.38
Baseline,Working,Jan_2026,Organic,New_York_City,Spend,15500
Baseline,Working,Jan_2026,Organic,New_York_City,CPC,1.8
Baseline,Working,Jan_2026,Organic,New_York_City,CVR,0.04
Baseline,Working,Jan_2026,Organic,New_York_City,Close_Rate,0.14
Baseline,Working,Jan_2026,Organic,New_York_City,AOV,450
Baseline,Working,Jan_2026,Organic,New_York_City,COGS_Rate,0.38
Baseline,Working,Jan_2026,Organic,Boston,Spend,15700
Baseline,Working,Jan_2026,Organic,Boston,CPC,1.8199999999999998
Baseline,Working,Jan_2026,Organic,Boston,CVR,0.04
Baseline,Working,Jan_2026,Organic,Boston,Close_Rate,0.14
Baseline,Working,Jan_2026,Organic,Boston,AOV,500
Baseline,Working,Jan_2026,Organic,Boston,COGS_Rate,0.38
Baseline,Working,Feb_2026,Paid_Search,Tampa,Spend,11000
Baseline,Working,Feb_2026,Paid_Search,Tampa,CPC,1.5
Baseline,Working,Feb_2026,Paid_Search,Tampa,CVR,0.02
Baseline,Working,Feb_2026,Paid_Search,Tampa,Close_Rate,0.1
Baseline,Working,Feb_2026,Paid_Search,Tampa,AOV,200
Baseline,Working,Feb_2026,Paid_Search,Tampa,COGS_Rate,0.3
Baseline,Working,Feb_2026,Paid_Search,Orlando,Spend,11200
Baseline,Working,Feb_2026,Paid_Search,Orlando,CPC,1.52
Baseline,Working,Feb_2026,Paid_Search,Orlando,CVR,0.02
Baseline,Working,Feb_2026,Paid_Search,Orlando,Close_Rate,0.1
Baseline,Working,Feb_2026,Paid_Search,Orlando,AOV,250
Baseline,Working,Feb_2026,Paid_Search,Orlando,COGS_Rate,0.3
Baseline,Working,Feb_2026,Paid_Search,Miami,Spend,11400
Baseline,Working,Feb_2026,Paid_Search,Miami,CPC,1.54
Baseline,Working,Feb_2026,Paid_Search,Miami,CVR,0.02
Baseline,Working,Feb_2026,Paid_Search,Miami,Close_Rate,0.1
Baseline,Working,Feb_2026,Paid_Search,Miami,AOV,300
Baseline,Working,Feb_2026,Paid_Search,Miami,COGS_Rate,0.3
Baseline,Working,Feb_2026,Paid_Search,Atlanta,Spend,11600
Baseline,Working,Feb_2026,Paid_Search,Atlanta,CPC,1.56
Baseline,Working,Feb_2026,Paid_Search,Atlanta,CVR,0.02
Baseline,Working,Feb_2026,Paid_Search,Atlanta,Close_Rate,0.1
Baseline,Working,Feb_2026,Paid_Search,Atlanta,AOV,350
Baseline,Working,Feb_2026,Paid_Search,Atlanta,COGS_Rate,0.3
Baseline,Working,Feb_2026,Paid_Search,Charlotte,Spend,11800
Baseline,Working,Feb_2026,Paid_Search,Charlotte,CPC,1.58
Baseline,Working,Feb_2026,Paid_Search,Charlotte,CVR,0.02
Baseline,Working,Feb_2026,Paid_Search,Charlotte,Close_Rate,0.1
Baseline,Working,Feb_2026,Paid_Search,Charlotte,AOV,400
Baseline,Working,Feb_2026,Paid_Search,Charlotte,COGS_Rate,0.3
Baseline,Working,Feb_2026,Paid_Search,New_York_City,Spend,12000
Baseline,Working,Feb_2026,Paid_Search,New_York_City,CPC,1.6
Baseline,Working,Feb_2026,Paid_Search,New_York_City,CVR,0.02
Baseline,Working,Feb_2026,Paid_Search,New_York_City,Close_Rate,0.1
Baseline,Working,Feb_2026,Paid_Search,New_York_City,AOV,450
Baseline,Working,Feb_2026,Paid_Search,New_York_City,COGS_Rate,0.3
Baseline,Working,Feb_2026,Paid_Search,Boston,Spend,12200
Baseline,Working,Feb_2026,Paid_Search,Boston,CPC,1.62
Baseline,Working,Feb_2026,Paid_Search,Boston,CVR,0.02
Baseline,Working,Feb_2026,Paid_Search,Boston,Close_Rate,0.1
Baseline,Working,Feb_2026,Paid_Search,Boston,AOV,500
Baseline,Working,Feb_2026,Paid_Search,Boston,COGS_Rate,0.3
Baseline,Working,Feb_2026,Paid_Social,Tampa,Spend,12000
Baseline,Working,Feb_2026,Paid_Social,Tampa,CPC,1.55
Baseline,Working,Feb_2026,Paid_Social,Tampa,CVR,0.025
Baseline,Working,Feb_2026,Paid_Social,Tampa,Close_Rate,0.11
Baseline,Working,Feb_2026,Paid_Social,Tampa,AOV,200
Baseline,Working,Feb_2026,Paid_Social,Tampa,COGS_Rate,0.32
Baseline,Working,Feb_2026,Paid_Social,Orlando,Spend,12200
Baseline,Working,Feb_2026,Paid_Social,Orlando,CPC,1.57
Baseline,Working,Feb_2026,Paid_Social,Orlando,CVR,0.025
Baseline,Working,Feb_2026,Paid_Social,Orlando,Close_Rate,0.11
Baseline,Working,Feb_2026,Paid_Social,Orlando,AOV,250
Baseline,Working,Feb_2026,Paid_Social,Orlando,COGS_Rate,0.32
Baseline,Working,Feb_2026,Paid_Social,Miami,Spend,12400
Baseline,Working,Feb_2026,Paid_Social,Miami,CPC,1.59
Baseline,Working,Feb_2026,Paid_Social,Miami,CVR,0.025
Baseline,Working,Feb_2026,Paid_Social,Miami,Close_Rate,0.11
Baseline,Working,Feb_2026,Paid_Social,Miami,AOV,300
Baseline,Working,Feb_2026,Paid_Social,Miami,COGS_Rate,0.32
Baseline,Working,Feb_2026,Paid_Social,Atlanta,Spend,12600
Baseline,Working,Feb_2026,Paid_Social,Atlanta,CPC,1.61
Baseline,Working,Feb_2026,Paid_Social,Atlanta,CVR,0.025
Baseline,Working,Feb_2026,Paid_Social,Atlanta,Close_Rate,0.11
Baseline,Working,Feb_2026,Paid_Social,Atlanta,AOV,350
Baseline,Working,Feb_2026,Paid_Social,Atlanta,COGS_Rate,0.32
Baseline,Working,Feb_2026,Paid_Social,Charlotte,Spend,12800
Baseline,Working,Feb_2026,Paid_Social,Charlotte,CPC,1.6300000000000001
Baseline,Working,Feb_2026,Paid_Social,Charlotte,CVR,0.025
Baseline,Working,Feb_2026,Paid_Social,Charlotte,Close_Rate,0.11
Baseline,Working,Feb_2026,Paid_Social,Charlotte,AOV,400
Baseline,Working,Feb_2026,Paid_Social,Charlotte,COGS_Rate,0.32
Baseline,Working,Feb_2026,Paid_Social,New_York_City,Spend,13000
Baseline,Working,Feb_2026,Paid_Social,New_York_City,CPC,1.6500000000000001
Baseline,Working,Feb_2026,Paid_Social,New_York_City,CVR,0.025
Baseline,Working,Feb_2026,Paid_Social,New_York_City,Close_Rate,0.11
Baseline,Working,Feb_2026,Paid_Social,New_York_City,AOV,450
Baseline,Working,Feb_2026,Paid_Social,New_York_City,COGS_Rate,0.32
Baseline,Working,Feb_2026,Paid_Social,Boston,Spend,13200
Baseline,Working,Feb_2026,Paid_Social,Boston,CPC,1.67
Baseline,Working,Feb_2026,Paid_Social,Boston,CVR,0.025
Baseline,Working,Feb_2026,Paid_Social,Boston,Close_Rate,0.11
Baseline,Working,Feb_2026,Paid_Social,Boston,AOV,500
Baseline,Working,Feb_2026,Paid_Social,Boston,COGS_Rate,0.32
Baseline,Working,Feb_2026,Display,Tampa,Spend,13000
Baseline,Working,Feb_2026,Display,Tampa,CPC,1.6
Baseline,Working,Feb_2026,Display,Tampa,CVR,0.03
Baseline,Working,Feb_2026,Display,Tampa,Close_Rate,0.12000000000000001
Baseline,Working,Feb_2026,Display,Tampa,AOV,200
Baseline,Working,Feb_2026,Display,Tampa,COGS_Rate,0.33999999999999997
Baseline,Working,Feb_2026,Display,Orlando,Spend,13200
Baseline,Working,Feb_2026,Display,Orlando,CPC,1.62
Baseline,Working,Feb_2026,Display,Orlando,CVR,0.03
Baseline,Working,Feb_2026,Display,Orlando,Close_Rate,0.12000000000000001
Baseline,Working,Feb_2026,Display,Orlando,AOV,250
Baseline,Working,Feb_2026,Display,Orlando,COGS_Rate,0.33999999999999997
Baseline,Working,Feb_2026,Display,Miami,Spend,13400
Baseline,Working,Feb_2026,Display,Miami,CPC,1.6400000000000001
Baseline,Working,Feb_2026,Display,Miami,CVR,0.03
Baseline,Working,Feb_2026,Display,Miami,Close_Rate,0.12000000000000001
Baseline,Working,Feb_2026,Display,Miami,AOV,300
Baseline,Working,Feb_2026,Display,Miami,COGS_Rate,0.33999999999999997
Baseline,Working,Feb_2026,Display,Atlanta,Spend,13600
Baseline,Working,Feb_2026,Display,Atlanta,CPC,1.6600000000000001
Baseline,Working,Feb_2026,Display,Atlanta,CVR,0.03
Baseline,Working,Feb_2026,Display,Atlanta,Close_Rate,0.12000000000000001
Baseline,Working,Feb_2026,Display,Atlanta,AOV,350
Baseline,Working,Feb_2026,Display,Atlanta,COGS_Rate,0.33999999999999997
Baseline,Working,Feb_2026,Display,Charlotte,Spend,13800
Baseline,Working,Feb_2026,Display,Charlotte,CPC,1.6800000000000002
Baseline,Working,Feb_2026,Display,Charlotte,CVR,0.03
Baseline,Working,Feb_2026,Display,Charlotte,Close_Rate,0.12000000000000001
Baseline,Working,Feb_2026,Display,Charlotte,AOV,400
Baseline,Working,Feb_2026,Display,Charlotte,COGS_Rate,0.33999999999999997
Baseline,Working,Feb_2026,Display,New_York_City,Spend,14000
Baseline,Working,Feb_2026,Display,New_York_City,CPC,1.7000000000000002
Baseline,Working,Feb_2026,Display,New_York_City,CVR,0.03
Baseline,Working,Feb_2026,Display,New_York_City,Close_Rate,0.12000000000000001
Baseline,Working,Feb_2026,Display,New_York_City,AOV,450
Baseline,Working,Feb_2026,Display,New_York_City,COGS_Rate,0.33999999999999997
Baseline,Working,Feb_2026,Display,Boston,Spend,14200
Baseline,Working,Feb_2026,Display,Boston,CPC,1.7200000000000002
Baseline,Working,Feb_2026,Display,Boston,CVR,0.03
Baseline,Working,Feb_2026,Display,Boston,Close_Rate,0.12000000000000001
Baseline,Working,Feb_2026,Display,Boston,AOV,500
Baseline,Working,Feb_2026,Display,Boston,COGS_Rate,0.33999999999999997
Baseline,Working,Feb_2026,Email,Tampa,Spend,14000
Baseline,Working,Feb_2026,Email,Tampa,CPC,1.65
Baseline,Working,Feb_2026,Email,Tampa,CVR,0.035
Baseline,Working,Feb_2026,Email,Tampa,Close_Rate,0.13
Baseline,Working,Feb_2026,Email,Tampa,AOV,200
Baseline,Working,Feb_2026,Email,Tampa,COGS_Rate,0.36
Baseline,Working,Feb_2026,Email,Orlando,Spend,14200
Baseline,Working,Feb_2026,Email,Orlando,CPC,1.67
Baseline,Working,Feb_2026,Email,Orlando,CVR,0.035
Baseline,Working,Feb_2026,Email,Orlando,Close_Rate,0.13
Baseline,Working,Feb_2026,Email,Orlando,AOV,250
Baseline,Working,Feb_2026,Email,Orlando,COGS_Rate,0.36
Baseline,Working,Feb_2026,Email,Miami,Spend,14400
Baseline,Working,Feb_2026,Email,Miami,CPC,1.69
Baseline,Working,Feb_2026,Email,Miami,CVR,0.035
Baseline,Working,Feb_2026,Email,Miami,Close_Rate,0.13
Baseline,Working,Feb_2026,Email,Miami,AOV,300
Baseline,Working,Feb_2026,Email,Miami,COGS_Rate,0.36
Baseline,Working,Feb_2026,Email,Atlanta,Spend,14600
Baseline,Working,Feb_2026,Email,Atlanta,CPC,1.71
Baseline,Working,Feb_2026,Email,Atlanta,CVR,0.035
Baseline,Working,Feb_2026,Email,Atlanta,Close_Rate,0.13
Baseline,Working,Feb_2026,Email,Atlanta,AOV,350
Baseline,Working,Feb_2026,Email,Atlanta,COGS_Rate,0.36
Baseline,Working,Feb_2026,Email,Charlotte,Spend,14800
Baseline,Working,Feb_2026,Email,Charlotte,CPC,1.73
Baseline,Working,Feb_2026,Email,Charlotte,CVR,0.035
Baseline,Working,Feb_2026,Email,Charlotte,Close_Rate,0.13
Baseline,Working,Feb_2026,Email,Charlotte,AOV,400
Baseline,Working,Feb_2026,Email,Charlotte,COGS_Rate,0.36
Baseline,Working,Feb_2026,Email,New_York_City,Spend,15000
Baseline,Working,Feb_2026,Email,New_York_City,CPC,1.75
Baseline,Working,Feb_2026,Email,New_York_City,CVR,0.035
Baseline,Working,Feb_2026,Email,New_York_City,Close_Rate,0.13
Baseline,Working,Feb_2026,Email,New_York_City,AOV,450
Baseline,Working,Feb_2026,Email,New_York_City,COGS_Rate,0.36
Baseline,Working,Feb_2026,Email,Boston,Spend,15200
Baseline,Working,Feb_2026,Email,Boston,CPC,1.77
Baseline,Working,Feb_2026,Email,Boston,CVR,0.035
Baseline,Working,Feb_2026,Email,Boston,Close_Rate,0.13
Baseline,Working,Feb_2026,Email,Boston,AOV,500
Baseline,Working,Feb_2026,Email,Boston,COGS_Rate,0.36
Baseline,Working,Feb_2026,Organic,Tampa,Spend,15000
Baseline,Working,Feb_2026,Organic,Tampa,CPC,1.7
Baseline,Working,Feb_2026,Organic,Tampa,CVR,0.04
Baseline,Working,Feb_2026,Organic,Tampa,Close_Rate,0.14
Baseline,Working,Feb_2026,Organic,Tampa,AOV,200
Baseline,Working,Feb_2026,Organic,Tampa,COGS_Rate,0.38
Baseline,Working,Feb_2026,Organic,Orlando,Spend,15200
Baseline,Working,Feb_2026,Organic,Orlando,CPC,1.72
Baseline,Working,Feb_2026,Organic,Orlando,CVR,0.04
Baseline,Working,Feb_2026,Organic,Orlando,Close_Rate,0.14
Baseline,Working,Feb_2026,Organic,Orlando,AOV,250
Baseline,Working,Feb_2026,Organic,Orlando,COGS_Rate,0.38
Baseline,Working,Feb_2026,Organic,Miami,Spend,15400
Baseline,Working,Feb_2026,Organic,Miami,CPC,1.74
Baseline,Working,Feb_2026,Organic,Miami,CVR,0.04
Baseline,Working,Feb_2026,Organic,Miami,Close_Rate,0.14
Baseline,Working,Feb_2026,Organic,Miami,AOV,300
Baseline,Working,Feb_2026,Organic,Miami,COGS_Rate,0.38
Baseline,Working,Feb_2026,Organic,Atlanta,Spend,15600
Baseline,Working,Feb_2026,Organic,Atlanta,CPC,1.76
Baseline,Working,Feb_2026,Organic,Atlanta,CVR,0.04
Baseline,Working,Feb_2026,Organic,Atlanta,Close_Rate,0.14
Baseline,Working,Feb_2026,Organic,Atlanta,AOV,350
Baseline,Working,Feb_2026,Organic,Atlanta,COGS_Rate,0.38
Baseline,Working,Feb_2026,Organic,Charlotte,Spend,15800
Baseline,Working,Feb_2026,Organic,Charlotte,CPC,1.78
Baseline,Working,Feb_2026,Organic,Charlotte,CVR,0.04
Baseline,Working,Feb_2026,Organic,Charlotte,Close_Rate,0.14
Baseline,Working,Feb_2026,Organic,Charlotte,AOV,400
Baseline,Working,Feb_2026,Organic,Charlotte,COGS_Rate,0.38
